Date : 2021-01-23 21:10:55
Directory : c:\Users\Connor\Documents\GitHub\Chika
Total : 156 files,  11801 codes, 106 comments, 488 blanks, all 12395 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\image\yuri.js             | JavaScript |         50 |          0 |          1 |         51 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\moderation\ban.js         | JavaScript |         66 |          0 |          1 |         67 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\moderation\clear.js       | JavaScript |         33 |          0 |          1 |         34 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\moderation\kick.js        | JavaScript |         64 |          0 |          1 |         65 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\moderation\mute.js        | JavaScript |         79 |          0 |          1 |         80 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\moderation\muterole.js    | JavaScript |         43 |          0 |          1 |         44 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\moderation\unmute.js      | JavaScript |         73 |          0 |          1 |         74 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\djrole.js           | JavaScript |         40 |          0 |          1 |         41 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\loop.js             | JavaScript |         42 |          0 |          1 |         43 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\np.js               | JavaScript |         20 |          0 |          1 |         21 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\pause.js            | JavaScript |         48 |          0 |          1 |         49 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\play.js             | JavaScript |        238 |          0 |          1 |        239 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\queue.js            | JavaScript |        112 |          0 |          1 |        113 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\remove.js           | JavaScript |         48 |          0 |          1 |         49 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\resume.js           | JavaScript |         48 |          0 |          1 |         49 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\shuffle.js          | JavaScript |         45 |          0 |          1 |         46 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\skip.js             | JavaScript |         61 |          0 |          1 |         62 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\skipto.js           | JavaScript |         55 |          0 |          1 |         56 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\stop.js             | JavaScript |         51 |          0 |          1 |         52 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\volume.js           | JavaScript |         57 |          0 |          1 |         58 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\utility\poll.js           | JavaScript |         37 |          0 |          1 |         38 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\utility\serverinfo.js     | JavaScript |        178 |          0 |          1 |        179 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\utility\userinfo.js       | JavaScript |        205 |          0 |          1 |        206 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\waifu\switch.js           | JavaScript |         39 |          0 |          1 |         40 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\waifu\waifu.js            | JavaScript |         94 |         34 |          1 |        129 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\commands\waifu\waifupack.js        | JavaScript |         62 |          0 |          1 |         63 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildCreate.js              | JavaScript |         62 |          0 |          1 |         63 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildDelete.js              | JavaScript |         55 |          0 |          1 |         56 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildMemberAdd.js           | JavaScript |         26 |          0 |          1 |         27 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildMemberRemove.js        | JavaScript |         15 |          0 |          1 |         16 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\message.js                  | JavaScript |        145 |          0 |          1 |        146 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\ready.js                    | JavaScript |         41 |          9 |          1 |         51 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\events\voiceStateUpdate.js         | JavaScript |         14 |          0 |          1 |         15 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\main.js                            | JavaScript |         49 |          0 |          1 |         50 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\structures\Client.js               | JavaScript |         68 |          0 |          1 |         69 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\structures\Database.js             | JavaScript |         31 |          1 |          1 |         33 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\structures\Embeds.js               | JavaScript |         79 |          0 |          1 |         80 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\utils\config.js                    | JavaScript |        185 |          0 |          1 |        186 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\utils\functions.js                 | JavaScript |        161 |          0 |          1 |        162 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\utils\languages\de_de.js           | JavaScript |        444 |          0 |          1 |        445 |
| c:\Users\Connor\Documents\GitHub\Chika\dist\utils\languages\en_us.js           | JavaScript |        444 |          0 |          1 |        445 |
| c:\Users\Connor\Documents\GitHub\Chika\package-lock.json                       | JSON       |      1,719 |          0 |          1 |      1,720 |
| c:\Users\Connor\Documents\GitHub\Chika\package.json                            | JSON       |         30 |          0 |          1 |         31 |
| c:\Users\Connor\Documents\GitHub\Chika\src\bot.ts                              | TypeScript |          9 |          0 |          3 |         12 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\autorole.ts  | TypeScript |         36 |          0 |          4 |         40 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\goodbye.ts   | TypeScript |         56 |          0 |          6 |         62 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\language.ts  | TypeScript |         31 |          0 |          4 |         35 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\prefix.ts    | TypeScript |         32 |          0 |          4 |         36 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\configuration\welcome.ts   | TypeScript |         56 |          0 |          6 |         62 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\blacklist.ts     | TypeScript |         32 |          0 |          1 |         33 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\eval.ts          | TypeScript |         36 |          3 |          3 |         42 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\server.ts        | TypeScript |         35 |          0 |          1 |         36 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\developer\update.ts        | TypeScript |         67 |          1 |          8 |         76 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\daily.ts           | TypeScript |         50 |          0 |          6 |         56 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\monthly.ts         | TypeScript |         52 |          0 |          6 |         58 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\weekly.ts          | TypeScript |         52 |          0 |          6 |         58 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\economy\yen.ts             | TypeScript |         24 |          0 |          1 |         25 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\fun\anime.ts               | TypeScript |         44 |          0 |          3 |         47 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\fun\say.ts                 | TypeScript |         24 |          0 |          0 |         24 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\fun\ship.ts                | TypeScript |        123 |          0 |          7 |        130 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\game\bannedword.ts         | TypeScript |         31 |          0 |          1 |         32 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\general\help.ts            | TypeScript |        138 |          5 |         10 |        153 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\general\info.ts            | TypeScript |         56 |          0 |          2 |         58 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\anal.ts              | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\boobs.ts             | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\cat.ts               | TypeScript |         23 |          0 |          2 |         25 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\dog.ts               | TypeScript |         23 |          0 |          2 |         25 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\feet.ts              | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\fox.ts               | TypeScript |         23 |          0 |          2 |         25 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\hentai.ts            | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\kitsune.ts           | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\neko.ts              | TypeScript |         23 |          0 |          2 |         25 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\pussy.ts             | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\trap.ts              | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\image\yuri.ts              | TypeScript |         27 |          0 |          2 |         29 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\ban.ts          | TypeScript |         57 |          0 |          5 |         62 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\clear.ts        | TypeScript |         29 |          0 |          6 |         35 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\kick.ts         | TypeScript |         55 |          0 |          5 |         60 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\mute.ts         | TypeScript |         66 |          0 |          9 |         75 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\muterole.ts     | TypeScript |         39 |          0 |          4 |         43 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\moderation\unmute.ts       | TypeScript |         63 |          0 |          9 |         72 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\djrole.ts            | TypeScript |         36 |          0 |          4 |         40 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\loop.ts              | TypeScript |         34 |          0 |          5 |         39 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\np.ts                | TypeScript |         19 |          0 |          3 |         22 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\pause.ts             | TypeScript |         39 |          0 |          5 |         44 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\play.ts              | TypeScript |        197 |          0 |         31 |        228 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\queue.ts             | TypeScript |        107 |          0 |         33 |        140 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\remove.ts            | TypeScript |         37 |          0 |          8 |         45 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\resume.ts            | TypeScript |         39 |          0 |          5 |         44 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\shuffle.ts           | TypeScript |         37 |          0 |          8 |         45 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\skip.ts              | TypeScript |         48 |          0 |         13 |         61 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\skipto.ts            | TypeScript |         44 |          0 |          6 |         50 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\stop.ts              | TypeScript |         42 |          0 |          8 |         50 |
| c:\Users\Connor\Documents\GitHub\Chika\src\commands\music\volume.ts            | TypeScript |         45 |          0 |         10 |         55 |
