"filename", "language", "JSON", "JavaScript", "Markdown", "XML", "TypeScript", "comment", "blank", "total"
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\djrole.js", "JavaScript", 0, 40, 0, 0, 0, 0, 1, 41
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\loop.js", "JavaScript", 0, 42, 0, 0, 0, 0, 1, 43
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\np.js", "JavaScript", 0, 20, 0, 0, 0, 0, 1, 21
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\pause.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\play.js", "JavaScript", 0, 238, 0, 0, 0, 0, 1, 239
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\queue.js", "JavaScript", 0, 112, 0, 0, 0, 0, 1, 113
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\remove.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\resume.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 49
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\shuffle.js", "JavaScript", 0, 45, 0, 0, 0, 0, 1, 46
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\skip.js", "JavaScript", 0, 61, 0, 0, 0, 0, 1, 62
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\skipto.js", "JavaScript", 0, 55, 0, 0, 0, 0, 1, 56
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\stop.js", "JavaScript", 0, 51, 0, 0, 0, 0, 1, 52
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\music\volume.js", "JavaScript", 0, 57, 0, 0, 0, 0, 1, 58
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\utility\poll.js", "JavaScript", 0, 37, 0, 0, 0, 0, 1, 38
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\utility\serverinfo.js", "JavaScript", 0, 178, 0, 0, 0, 0, 1, 179
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\utility\userinfo.js", "JavaScript", 0, 205, 0, 0, 0, 0, 1, 206
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\waifu\switch.js", "JavaScript", 0, 39, 0, 0, 0, 0, 1, 40
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\waifu\waifu.js", "JavaScript", 0, 94, 0, 0, 0, 34, 1, 129
"c:\Users\Connor\Documents\GitHub\Chika\dist\commands\waifu\waifupack.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
"c:\Users\Connor\Documents\GitHub\Chika\dist\events\guildCreate.js", "JavaScript", 0, 62, 0, 0, 0, 0, 1, 63
